COD_ID_PRODUTO,DES_PRODUTO,total_desconto
105102,GIN GORDONS 700ML LONDON DRY SICILIAN LEMON,5080.00
79848,QUEIJO DA SERRA 40G RALADO,5064.19
5571,ARROZ BLUE VILLE 5KG BRANCO,5049.01
92173,SNACK PRINGLES CREME/CEBOLA 120G,5042.12
105885,REFRIG PEPITA 2L LIMAO,4994.37
96204,MILHO BONARE LATA 170G,4990.58
40472,APARELHO BARB GILLETTE C/4 PREST3 COMFORT L4P3,4984.48
62882,REFRESCO APTI 25G PO LIMAO,4978.75
105768,BEBIDA ENERGETICA BALY 2L CITRUS LIMAO SICILIAN,4974.34
101148,ACHOC NESTLE 370G NESCAU,4973.29
81359,"ACHOCOLATADO NESCAU 1,2KG",4961.23
62303,PRESUNTO PERDIGAO 200G ATM FAT,4938.34
72094,ACUCAR CARAVELAS 5KG REF,4886.06
63415,PEPINO DA SERRA 300G CONSERV,4845.97
105010,AMACIANTE GUIMARAES 5L PREM SEDUCAO,4832.39
8798,ERVA MATE CRISTALINA SUAVE 1KG,4815.02
90049,BEBIDA LACTEA NESTLE .200ML NESCAU,4805.57
92628,PESSEGO MARIZA 450G CALDA METADE,4794.57
105884,REFRIG PEPITA 2L UVA,4790.66
98303,BEBIDA ENERGETICA BALY 2L MELANCIA,4773.65
91188,GIN INTENCION STRAWBERRY 900ML,4753.65
7820,*NATA PIA 300G,4658.05
82534,AMACIANTE GIRANDO SOL 1L CONC PAIXAO SECRET,4600.85
26825,WHISKY JOHNNIE WALKER 500ML RED LABEL,4565.99
92656,RACAO PURE DOG 7KG ORIGINAL ADULTO,4555.65
97558,SHAMPOO SEDA 670ML COCRIAC CERAMID TAM FAMILIA,4496.55
87965,ALCOOL SUPER VALE 46? 1L,4454.96
100070,"AMACIANTE DE ROUPA COMFORT CONCENTRADO CUIDADO INTENSIVO HYDRA SERUM FRASCO 1,5L",4452.44
105512,LASANHA SEARA A BOLONHESA 350G,4421.60
102376,BALA DORI 70G MOR,4399.70
105009,AMACIANTE GUIMARAES 5L PREM ENCANTO,4361.22
11730,REFRIGERANTE FRUKI GUARANA PET 2L,4356.60
105848,BEBIDA ENERGETICA RED. BULL 250ML MOR/PESSEG,4350.24
