COD_ID_PRODUTO,DES_PRODUTO,total_vendido
101963,PANETTONE NOVITA 400G ITALIA MIA. GOTAS CHOC,38509.00
8866,ACUCAR UNIAO 1KG REF,38374.00
101892,BEBIDA LACTEA ITALAC 200ML. ITALAKINHO MOR,38361.00
14287,ARROZ SAO PEDRO 5KG BRANCO T1,38314.00
3792,SABONETE DOVE 90G BRANCO,38139.00
3768,ESPONJA ACO BOMBRIL 60G ECO COM 8 UNIDADES,37441.00
9922,WAFER BAUDUCCO 140G CHOC,37333.00
98768,"MACARR?O INSTANTANEO ISABELA LAMEN CARNE PACOTE 74,3G",37261.00
71557,SABONETE PALMOLIVE 85G NATURALS TURMALINA,37231.00
37702,REFRIG FRUKI 600ML PET GUARANA,36721.00
87439,REFRIG FANTA 200ML LARANJA,36552.00
3966,REFRIG FANTA 2L PET LARANJA,36460.00
53041,CERVEJA CORONITA LONG NECK EXTRA ONE WAY 210ML,36414.00
6966,BEBIDA ENERGETICA RED BULL 250ML,36306.00
1771,FARINHA TRIGO NORDESTE 1KG,36217.00
49880,GUARDANAPO MILI 30X29CM C/50,36208.00
81155,NATA STA CLARA 300G,35974.00
92174,SNACK PRINGLES 114G ORIG,35885.00
8283,MACARRAO ISABELA 500G BOM G SEMOLA ESPAG,35649.00
72181,"CHOC NESTLE 41,5G KIT KAT LEITE",35645.00
98842,BEBIDA ENERGETICA BALY 473ML TRAD,35588.00
1681,MAIONESE ODERICH 200G SACHE,35586.00
72612,P?O BREAD KING FRANCES KG,35342.11
88737,MASSA CASEIRA GIRASSOL 400G,35197.00
64958,VINAGRE ROSINA 750ML ALCOOL,34911.00
6328,MACARRAO MIOJO NISSIN 85G LAMEN GALINHA,34887.00
390,MELAO ESPANHOL KG,34670.70
103110,ERVILHA FUGINI EM CONSERVA 170G,34658.00
105208,SABONETE HIDRATANTE NIPS DE ERVA DOCE 85G,34520.00
26863,BEBIDA LACTEA BIO MAMUCHA 130G,34496.00
101962,PANETTONE NOVITA 400G ITALIA MIA FRUT,34445.00
2724,REFRIG SARANDI 340ML LT GUARANA,34410.00
105337,"SUCO AURORA DE UVA INTEGRAL E TINTO TETRA PAK 1,5L",34261.00
105884,REFRIG PEPITA 2L UVA,34241.00
21182,CERV HEINEKEN 600ML ONE WAY,33995.00
3971,REFRIG SPRITE 2L PET,33906.00
94848,LEITE LATVIDA 1L UHT DESNAT,33648.00
88909,TOALHA PAPEL NATUREZA C/2 MULTIUSO,33634.00
6710,MARGARINA DORIANA 500G COM SAL,33454.00
103550,CREME DE LEITE TERRA VIVA UHT LEVE COM 15% DE GORDURA 200G,33407.00
105447,GELATINA APTI DE LIM?O 20G,33372.00
95374,LINGUICA MISTA FRANGOSUL 800G,33298.00
7313,NATA LATVIDA 300G,33189.00
13786,CERV CONTI 473ML LT,33142.00
61073,FARINHA TRIGO GARDENIA 1KG,33027.00
100020,DETERG LOUCA BRILHA SUL 500ML MACA,32959.00
5644,ARROZ BLUE VILLE 5KG PARBO T1,32935.00
9289,PEPINO TAUA 300G SUAVE,32856.00
8320,MACARRAO ISABELA 500G BOM G SEMOLA. PARAF,32663.00
101194,PIZZA LEBON CALABRESA CONGELADA 400G,32643.00
105885,REFRIG PEPITA 2L LIMAO,32360.00
93967,PIPOCA DOCE GUIMARAES 30G,32180.00
13447,LEITE ELEGE 1L UHT SEMIDESNATADO,32052.00
103770,CARNE BOV FRIBOI KG COST TIRAS CONG,32030.13
104057,OVO DE CODORNA PRINCESA EM CONSERVA 300G,32022.00
76138,BISCOITO RECHEADO PADUA CHOCOLATE 110G,31844.00
103133,DETERGENTE DE LOUCA GIRANDO SOL DE MAC? 500ML,31805.00
76139,BISCOITO RECHEADO PADUA MORANGO 110G,31734.00
119,CHUCHU KG,31684.46
88922,PIPOCA GUIMARAES 100G DOCE,31518.00
8095,MARGARINA QUALY 500G C/SAL,31467.00
